abstracts,title
"As the consequences of liberal opioid prescribing have become apparent, efforts to address the role of the health care system in supporting more balanced opioid use and the prevention and treatment of opioid use disorder have increased. Developing a unified and multidisciplinary approach can lead to an integrated care model that emphasizes primary prevention, harm reduction, and transition to life-sustaining treatment while also maintaining attentiveness to effective pain management. A model for this, which follows the nomenclature in proscribing antimicrobial use, is the development of an opioid stewardship program. Such programs allow for the integration of diverse perspectives and new mandates and uses a patient-centered approach with an iterative evaluation process. We describe a group of adoptable efforts that have been utilized successfully at our institutions and may be adapted and optimized to the needs and resources of other hospitals and health care systems.",Stewarding Recovery from the Opioid Crisis Through Health System Initiatives.
"BACKGROUND: This article presents an overview of pediatric relapsed and refractory acute lymphoblastic leukemia (ALL) and chimeric antigen receptor (CAR) T-cell therapy in pediatric patients. OBJECTIVES: Acute and chronic post-CAR T-cell effects and considerations are discussed, along with survivorship considerations. METHODS: A case study illustrates the identification and management of physiologic and psychosocial sequelae. FINDINGS: B-cell aplasia, hypogammaglobulinemia, infections, and cumulative effects of CAR T-cell therapy and other treatments are a concern in the pediatric population. Unique to pediatric and young adult survivors of childbearing potential are implications for post-treatment fertility. Financial toxicities and psychosocial needs require a family-centered approach to interventions that address the impact of CAR T-cell therapy not only on the patient, but also on caregivers and siblings.",Pediatric Survivorship: Considerations Following CAR T-Cell Therapy.
,EXPRESS: Statement on imaging and pulmonary hypertension from the Pulmonary Vascular Research Institute (PVRI).
,EXPRESS: RIGHT VENTRICULAR OUTFLOW TRACT VELOCITY TIME INTEGRAL- TO- PULMONARY ARTERY SYSTOLIC PRESSURE RATIO: A NONINVASIVE METRIC OF PULMONARY ARTERIAL COMPLIANCE DIFFERS ACROSS THE SPECTRUM OF PULMONARY HYPERTENSION.
"The (13)C-ketoisocaproate ((13)C-KICA) breath test (BT) has been recently proposed as a non-invasive test for assessing hepatic mitochondrial function. Results of the (13)C-KICA BT can be expressed as different parameters. However, the best parameter for expressing the (13)C-KICA BT result is uncertain which hinders use of the BT in routine clinical practice. We have investigated the repeatability of different parameters of (13)C-KICA BT. Thirteen healthy adult subjects (5 men and 8 women) underwent a (13)C-KICA BT on two occasions separated by a gap of approximately 30 days. There were no significant differences between the repeated measurements for all the test parameters over 30 days. Furthermore, the Bland Altman statistics showed no fixed or proportional bias for any of the test parameters. The cumulative (13)C-dose enrichment over 60 min had the lowest within-subject variability of 12% compared to all other test parameters. The cumulative (13)C-dose enrichment over 60 min could be a very useful parameter for the (13)C-KICA BT to detect impaired hepatic mitochondrial function in patients with chronic liver diseases.",The evaluation of the repeatability of the (13)C-ketoisocaproate breath test for assessing hepatic mitochondrial function.
"PURPOSE OF REVIEW: This article was written in order to bring the reader up to date with developments that have occurred in the treatment of Tourette disorder (TD) over the last 5 years. RECENT FINDINGS: Despite the fact that TD has been recognized for over a century, the understanding of the underlying mechanisms remains poor. There has been limited development in the last 5 years for new therapeutic options. Aripipazole is the only newly approved pharmaceutical therapy for TD in the last 5 years, although several medications are under active study. For the most severely affected individuals, there is increasing experience with surgical interventions. One of the most promising areas of research is the work of genetic consortiums currently looking into identifying the underlying pathogenetic basis which in turn will hopefully lead to the development of safer and more effective therapies.",Advances in the Treatment of Tourette's Disorder.
"PURPOSE OF REVIEW: Patients with relapsed T cell acute lymphoblastic leukemia (T-ALL) have limited therapeutic options and a poor prognosis. Although a variety of salvage chemotherapy regimens may be used, response rates are unsatisfactory. This article summarizes current approaches and promising emerging strategies for the treatment of relapsed T-ALL. RECENT FINDINGS: Although nelarabine is the only agent approved specifically for T-ALL, recent studies have identified a variety of genetic alterations and signaling pathways that are critical in its pathogenesis. Based on these findings, a number of small-molecule inhibitors and other targeted therapies are being studied for relapsed T-ALL, including gamma-secretase inhibitors, BCL-2 inhibitors, cyclin-dependent kinase inhibitors, and mTOR inhibitors. In addition, pre-clinical studies of chimeric antigen receptor T cells targeting CD5 and CD7 as well as the monoclonal antibody daratumumab have shown promising results for T-ALL. Relapsed T-ALL currently remains challenging to treat, but recent pre-clinical studies of targeted and immunotherapeutic agents have shown encouraging results. A number of clinical trials investigating these approaches for T-ALL are currently underway.",Relapsed T Cell ALL: Current Approaches and New Directions.
"BACKGROUND: Untreated opioid addiction in people with HIV is associated with poor HIV treatment outcomes. Slow-release, long-acting, implantable naltrexone might improve these outcomes. Here, we present results of a study aimed to test this hypothesis. METHODS: We did a 48 week double-blind, double-dummy, placebo-controlled, phase 3, randomised trial with men and women addicted to opioids who were starting antiretroviral therapy (ART) for HIV and whose viral loads were higher than 1000 copies per mL. Participants were seeking treatment at two HIV and two narcology programme centres in Saint Petersburg, Russia, and the surrounding Leningrad region. The Pavlov statistical department created a table with stratification on gender distribution, viral load, and CD4 cell count. We stratified participants according to gender, viral load, and CD4 cells per muL, and randomly assigned (1:1) them to addiction treatment with a naltrexone implant and oral naltrexone placebo (implant group) or oral naltrexone and placebo implant (oral group). The primary outcome was plasma viral load of less than 400 copies per mL at 24 weeks and 48 weeks. We included all randomly assigned participants in outcome analyses (intention to treat). Treatment staff and patients were masked to group assignment. The study is complete and registered at ClinicalTrials.gov, NCT01101815. FINDINGS: Between July 14, 2011, and April 14, 2014, 238 potential participants were recruited and screened, 35 were excluded for not meeting inclusion criteria, three declined to participate, and 200 were randomly assigned to treatment (100 to each group). At week 24, 38 (38) participants in the implant group and 35 (35%) in the oral group had viral loads less than 400 copies per mL (risk ratio 1.1, 95% CI 0.76-1.56; p=0.77). At week 48, 66 participants in the implant group and 50 in the oral group had viral loads less than 400 copies per mL (risk ratio 1.32, 95% CI 1.04-1.68; p=0.045). There were seven serious adverse events: three deaths in the implant group (one due to heart disease, one trauma, and one AIDS), and four in the oral group (two overdoses, one pancreatic cancer, and one AIDS). The overdose deaths occurred 9-10 months after the last naltrexone dose. INTERPRETATION: The longer the blockade of opioid effects, the more protection an individual gets from missed ART doses and impulsive behaviours that lead to relapse and poor, even fatal, outcomes. Commercial development of implants could result in a meaningful addition to addiction treatment options. FUNDING: National Institutes of Health, National Institute on Drug Abuse, Penn Centre for AIDS Research, and Penn Mental Health AIDS Research Centre.","Slow-release naltrexone implant versus oral naltrexone for improving treatment outcomes in people with HIV who are addicted to opioids: a double-blind, placebo-controlled, randomised trial."
"BACKGROUND: The authors introduce an algorithm for preoperative planning of optimal lateral circumflex femoral artery system perforator flap (LCFAPF) supplied by the best quality and the easiest dissection of the perforators and the source vessels for simplified and customized strategies in head and neck reconstruction with perforator navigation using color Doppler ultrasound and three-dimensional reconstruction (3D-CDUS PN). METHODS: Between June 2011 and September 2015, a prospective cohort study was performed with an algorithm based on defect site, perforator type, and pedicle length using 3D-CDUS PN to select optimal perforators arising from the different branches of LCFA in 108 patients. The optimal perforator and flap were determined by perforator caliber and quality, difficulty in flap dissection, and length of the source vessels. Cause and classification of the defect, flap choice, recipient vessels, postoperative course, and complications were analyzed. RESULTS: The source vessels of the perforators were lateral descending branch in 73 cases and oblique branch in 17 cases with ALTPFs, medial descending branch in 12 cases with AMTPFs, and ascending branch in 6 cases with TFLPFs. Straightforward dissection of flaps with septocutaneous (n=40) and semi-septocutaneous (n=17) perforators was performed in 52.8% cases. Successful exploration rate and overall flap survival rate were both 100%. Satisfactory functional and esthetic results in both recipient and donor sites with no serious complications were observed in all patients. CONCLUSIONS: Our algorithm using 3D-CDUS PN facilitates selection of optimal flap with better caliber and quality of the perforators and sufficient pedicle length for easy dissection.",Perforator navigation using color Doppler ultrasound and three-dimensional reconstruction for preoperative planning of optimal lateral circumflex femoral artery system perforator flaps in head and neck reconstruction.
"OBJECTIVE: To identify personal qualities and teaching methods of highly effective surgical educators using a novel research design. DESIGN: In this qualitative study, surgical residents were sent an electronic survey soliciting nominations for faculty perceived as highly effective surgical educators. In-depth, semistructured interviews were conducted with surgeons receiving the most nominations. Grounded theory methodology identified themes for analysis. SETTING: General, vascular, and plastic surgery residents and faculty at the University of Pennsylvania Health System. PARTICIPANTS: A total of 77 surgical residents were surveyed. Data saturation occurred after 12 semistructured interviews with attending surgeons, corresponding to the top 15% of faculty. RESULTS: Interviewees described both personal characteristics and specific teaching approaches that facilitated successful learning. These included providing exceptional surgical education as a mission, a strong influence from past mentors and role models, a love for the profession, and a low rate of self-professed burnout. Desirable teaching methods included promoting a culture of psychological safety (the perceived ability to take interpersonal risks within one's environment), progressive autonomy, accountability of trainees, and individualized teaching for the learner. Interviewees saw education as inseparable from clinical duties, and all surgeons believed providing exceptional patient care was the foundation of effective surgical teaching. The derived themes suggested that educators prefer ""cognitive-based"" approaches, focusing on learning processes rather than specific outcomes. CONCLUSIONS: This study identified characteristics and educational styles of highly effective educators in a cohort of academic surgeons. This framework may inform the development of educational programs for residents and faculty in effective teaching methods.",Qualities and Methods of Highly Effective Surgical Educators: A Grounded Theory Model.
,Early diagnosis and management of pulmonary vein thrombosis following lung transplant.
"Mutations in several genes encoding components of the SWI/SNF chromatin remodeling complex cause neurodevelopmental disorders (NDDs). Here, we report on five individuals with mutations in SMARCD1; the individuals present with developmental delay, intellectual disability, hypotonia, feeding difficulties, and small hands and feet. Trio exome sequencing proved the mutations to be de novo in four of the five individuals. Mutations in other SWI/SNF components cause Coffin-Siris syndrome, Nicolaides-Baraitser syndrome, or other syndromic and non-syndromic NDDs. Although the individuals presented here have dysmorphisms and some clinical overlap with these syndromes, they lack their typical facial dysmorphisms. To gain insight into the function of SMARCD1 in neurons, we investigated the Drosophila ortholog Bap60 in postmitotic memory-forming neurons of the adult Drosophila mushroom body (MB). Targeted knockdown of Bap60 in the MB of adult flies causes defects in long-term memory. Mushroom-body-specific transcriptome analysis revealed that Bap60 is required for context-dependent expression of genes involved in neuron function and development in juvenile flies when synaptic connections are actively being formed in response to experience. Taken together, we identify an NDD caused by SMARCD1 mutations and establish a role for the SMARCD1 ortholog Bap60 in the regulation of neurodevelopmental genes during a critical time window of juvenile adult brain development when neuronal circuits that are required for learning and memory are formed.","A Syndromic Neurodevelopmental Disorder Caused by Mutations in SMARCD1, a Core SWI/SNF Subunit Needed for Context-Dependent Neuronal Gene Regulation in Flies."
"OBJECTIVE: Family psychosocial risk screening is an important initial step in delivering evidence-based care in hematopoietic stem cell transplantation (HCT). Establishing an evidence-based screening approach that is acceptable, reliable and valid is an essential step in psychosocial care delivery. METHODS: This is a three-institution multi-method study. In Part 1 caregivers of children about to undergo HCT (n=140) completed the Psychosocial Assessment Tool (PAT), a brief parent report screener adapted for HCT, and validating questionnaires. Families received feedback on their risks identified on the PAT. In Part 2, 12 caregivers completed a semi-structured interview about their perceptions of the PAT and the feedback process. The reliability and validity of the PAT-HCT total and subscales scores were tested using Kuder-Richardson-20 (KR-20) and Pearson correlations. Thematic content analysis was used to analyze the qualitative interview data. RESULTS: Internal consistency for the total score (KR-20=0.88) and the Child Problems, Sibling Problems, Family Problems and Stress Reactions subscales were strong (KR-20 > 0.70). Family Structure, Social Support and Family Beliefs subscales were adequate (KR-20=0.55 - 0.63). Moderate to strong correlations with the criteria measures provided validation for the total and subscale scores. Feedback was provided to 97.14% of the families who completed the PAT-HCT and mean ratings of acceptability were above 4.00 (5-point scale). The qualitative data indicate that families appreciate the efforts to provide screening and feedback. CONCLUSIONS: The PAT-HCT is a psychometrically sound screener for use in HCT. Feedback can be given to families. Both the screener and the feedback process are acceptable to caregivers.",Screening for family psychosocial risk in pediatric hematopoietic stem cell transplantation with The Psychosocial Assessment Tool (PAT).
"This descriptive study sought to establish an oral health baseline of need for enrollees at a Program of All-Inclusive Care for the Elderly (PACE) and identify opportunities for nursing interventions. The Oral Health Assessment Tool (OHAT) was applied to a random sample of 120 enrollees, 64 of whom met inclusion criteria, agreed to participate to assess their oral health status, and were included in the analysis. The mean OHAT score was 4.4 (SD = 2.6; range 0-12). Higher scores indicate poorer oral health. The oral conditions found needing the most attention were gums, saliva, natural teeth, dentures, and oral cleanliness. Oral cleanliness scored the worst on the OHAT, highlighting opportunities for nursing interventions and the necessity for oral hygiene routines. This study also identifies the need for nurses to address enrollees' oral health and relay information back to the PACE interdisciplinary team (IDT) to initiate referrals to the dentist as needed.",An oral health baseline of need at a predominantly African American Program of All-Inclusive Care for the Elderly (PACE): Opportunities for dental-nursing collaboration.
"OBJECTIVE: To investigate patient factors predictive of gamma glutamyltransferase (GGT) normalization following ursodeoxycholic acid (UDCA) therapy in children with primary sclerosing cholangitis. STUDY DESIGN: We retrospectively reviewed patient records at 46 centers. We included patients with a baseline serum GGT level >/=50 IU/L at diagnosis of primary sclerosing cholangitis who initiated UDCA therapy within 1 month and continued therapy for at least 1 year. We defined ""normalization"" as a GGT level <50 IU/L without experiencing portal hypertensive or dominant stricture events, liver transplantation, or death during the first year. RESULTS: We identified 263 patients, median age 12.1 years at diagnosis, treated with UDCA at a median dose of 15 mg/kg/d. Normalization occurred in 46%. Patients with normalization had a lower prevalence of Crohn's disease, lower total bilirubin level, lower aspartate aminotransferase to platelet ratio index, greater platelet count, and greater serum albumin level at diagnosis. The 5-year survival with native liver was 99% in those patients who achieved normalization vs 77% in those who did not. CONCLUSIONS: Less than one-half of the patients treated with UDCA have a complete GGT normalization in the first year after diagnosis, but this subset of patients has a favorable 5-year outcome. Normalization is less likely in patients with a Crohn's disease phenotype or a laboratory profile suggestive of more advanced hepatobiliary fibrosis. Patients who do not achieve normalization could reasonably stop UDCA, as they are likely not receiving clinical benefit. Alternative treatments with improved efficacy are needed, particularly for patients with already-advanced disease.",Ursodeoxycholic Acid Therapy in Pediatric Primary Sclerosing Cholangitis: Predictors of Gamma Glutamyltransferase Normalization and Favorable Clinical Course.
The original version on this paper contained an error. The COI statement is incorrectly presented.,Correction to: A consensus response on the complete picture: reply to Lynoe and Eriksson.
"p27 shifts from CDK inhibitor to oncogene when phosphorylated by PI3K effector kinases. Here, we show that p27 is a cJun coregulator, whose assembly and chromatin association is governed by p27 phosphorylation. In breast and bladder cancer cells with high p27pT157pT198 or expressing a CDK-binding defective p27pT157pT198 phosphomimetic (p27CK-DD), cJun is activated and interacts with p27, and p27/cJun complexes localize to the nucleus. p27/cJun up-regulates TGFB2 to drive metastasis in vivo. Global analysis of p27 and cJun chromatin binding and gene expression shows that cJun recruitment to many target genes is p27 dependent, increased by p27 phosphorylation, and activates programs of epithelial-mesenchymal transformation and metastasis. Finally, human breast cancers with high p27pT157 differentially express p27/cJun-regulated genes of prognostic relevance, supporting the biological significance of the work.",p27 transcriptionally coregulates cJun to drive programs of tumor progression.
"ATP-citrate lyase (ACLY) is the predominant source of nucleocytosolic acetyl-CoA, a fundamental building block of carbon metabolism in eukaryotes. ACLY is aberrantly regulated in many cancers, cardiovascular disease, and metabolic disorders. However, the molecular mechanisms determining ACLY activity and function are unclear. To this end, we investigated the role of the uncharacterized ACLY C-terminal citrate synthase homology domain (CSHD) in the mechanism of acetyl-CoA formation. Using recombinant and purified ACLY and a suite of biochemical and biophysical approaches, including analytical ultracentrifugation, dynamic light scattering, and thermal stability assays, we demonstrate that the C-terminus maintains ACLY tetramerization, a conserved and essential quaternary structure in vitro and likely also in vivo. Furthermore, we show that the C-terminus, only in the context of the full-length enzyme, is necessary for full ACLY binding to CoA, stability and catalysis. Together, we demonstrate that ACLY forms a homotetramer through the C-terminus to facilitate CoA binding and acetyl-CoA production. Our findings highlight a novel and unique role of the C-terminal citrate synthase homology domain in ACLY function and catalysis, adding to the understanding of the molecular basis for acetyl-CoA synthesis by ACLY. This newly discovered means of ACLY regulation has implications for the development of novel ACLY modulators to target acetyl-CoA dependent cellular processes for potential therapeutic use.",ATP-citrate lyase multimerization is required for coenzyme-A substrate binding and catalysis.
"Pediatric glioblastoma (pGBM) is a lethal cancer with no effective therapies. To understand the mechanisms of tumor evolution in this cancer, we performed whole genome sequencing with linked reads on longitudinally resected pGBM samples. Our analyses showed that all diagnostic and recurrent samples were collections of genetically diverse subclones. Clonal composition rapidly evolved at recurrence, with less than 8% of non-synonymous single nucleotide variants being shared in diagnostic-recurrent pairs. To track the origins of the mutational events observed in pGBM, we generated whole genome datasets for two patients and their parents. These trios showed that genetic variants could be (i) somatic, (ii) inherited from a healthy parent, or (iii) de novo in the germlines of pGBM patients. Analysis of variant allele frequencies supported a model of tumor growth involving slow-cycling cancer stem cells that give rise to fast-proliferating progenitor-like cells and to non-dividing cells. Interestingly, radiation and anti-mitotic chemotherapeutics did not increase overall tumor burden upon recurrence. These findings support an important role for slow-cycling stem cell populations in contributing to recurrences, since slow-cycling cell populations are expected to be less prone to genotoxic stress induced by these treatments and therefore would accumulate few mutations. Our results highlight the need for new targeted treatments that account for the complex functional hierarchies and genomic heterogeneity of pGBM.",Intratumoral genetic and functional heterogeneity in pediatric glioblastoma.
"BACKGROUND: While autoimmunity and hyperinflammation secondary to recombinase activating gene (RAG) deficiency have been associated with delayed diagnosis and even death, our current understanding is limited primarily to small case series. OBJECTIVE: Understand the frequency, severity, and treatment responsiveness of autoimmunity and hyperinflammation in RAG deficiency. METHODS: In reviewing the literature and our own database, we identified 85 patients with RAG deficiency, reported between 2001 and 2016, and compiled the largest case series to date of 63 patients with prominent autoimmune and/or hyperinflammatory pathology. RESULTS: Diagnosis of RAG deficiency was delayed a median of 5 years from the first clinical signs of immune dysregulation. The majority of patients (55.6%) presented with more than one autoimmune or hyperinflammatory complication, with the most common etiologies being cytopenias (84.1%), granulomas (23.8%), and inflammatory skin disorders (19.0%). Infections, including live viral vaccinations, closely preceded the onset of autoimmunity in 28.6% of cases. Autoimmune cytopenias had early onset (median 1.9, 2.1, and 2.6 years for autoimmune hemolytic anemia (AIHA), immune thrombocytopenia (ITP) and autoimmune neutropenia (AN), respectively) and were refractory to intravenous immunoglobulin, steroids, and rituximab in the majority of cases (64.7%, 73.7%, and 71.4% for AIHA, ITP, and AN, respectively). Evans syndrome specifically was associated with lack of response to first-line therapy. Treatment-refractory autoimmunity/hyperinflammation prompted hematopoietic stem cell transplantation in 20 patients. CONCLUSIONS: Autoimmunity/hyperinflammation can be a presenting sign of RAG deficiency and should prompt further evaluation. Multi-lineage cytopenias are often refractory to immunosuppressive treatment and may require hematopoietic cell transplantation for definitive management.",Outcomes and treatment strategies for autoimmunity and hyperinflammation in patients with RAG deficiency.
"During the last two decades, our knowledge on the genetic bases of Mendelian forms of dystonia has expanded significantly. This has translated into the generation of multiple cell and animal models to explore the neurobiological bases of this hyperkinetic movement disorder. A majority of these studies have focused on DYT1 dystonia, caused by dominant mutations in the gene encoding for the protein torsinA. Since its discovery, work in multiple laboratories helped identify the subcellular localization of torsinA, key structural features, functionally important physical interactions and biological pathways and physiological events influenced by torsinA. Moreover, recent experimental work indicates potential shared pathogenic pathways between different genetic forms of dystonia. This review will summarize our current knowledge on the molecular and basic biological features of torsinA and its dysfunction when carrying disease-causing mutation, identifying future research priorities and proposing a model of dystonia pathogenesis that might extend beyond DYT1.",Advances in molecular and cell biology of dystonia: Focus on torsinA.
"BACKGROUND: Parents of children in the pediatric cardiac intensive care unit (CICU) report inadequate communication and a lack of empathy during conversations with their clinicians. OBJECTIVE: To assess quantitatively and qualitatively the contributions made by team members of different professions in communicating with parents during family meetings. DESIGN: Prospective observational study. SETTING/SUBJECTS: The pediatric CICU at the Children's Hospital of Philadelphia. Subjects were members of the interprofessional team attending family meetings for patients admitted to the CICU longer than two weeks. MEASUREMENTS: We used quantitative conversation attribution and coding to compare durations of attendee contributions and contribution type by professional role. The SCOPE codebook and other quantitative codes drawn from best practices in family meetings were used to measure communication behaviors. A qualitative analysis of nurses' and social workers' contributions was used to identify themes not otherwise captured. RESULTS: Across 10 meetings, physicians spoke for an average of 78.1% (SD 10.7%) of each meeting, non-physicians 9.6% (SD 7.8%), and parents 17.4% (SD 12.2%). Parental understanding was assessed an average of 0.2 (SD 0.4) times per meeting. Parents expressed emotion an average of 4.2 times per meeting (SD 7.1) and the clinical team responded empathetically 2.2 times per meeting (SD 4.3). All clinician empathic responses were a minority of their overall contributions. Conversation was almost exclusively between physicians and families until physicians indicated other team members could contribute. CONCLUSIONS: Coordination of team members' roles in the meetings may improve parental engagement necessary for decision-making and empathic responses that are often missed.",Interprofessional Teamwork During Family Meetings in the Pediatric Cardiac Intensive Care Unit.
"The mammalian blood coagulation system was designed to restrict blood loss due to injury as well as keep the blood fluid within the blood vessels of the organism. Blood coagulation activity in inbred mouse strains varies widely among strains, suggesting that many genomic variants affect hemostasis. Some of these molecules have been discovered and characterized; however, many are still unknown. Genetically modified mouse technologies are providing a plethora of new mouse models for investigating the regulation of blood coagulation. Here we provide a protocol for the tail bleeding time as a primary assessment of in vivo blood coagulation, as well as in vitro methods such as the prothrombin time, activated partial thromboplastin time, and thrombin generation assay. We also provide protocols for the assessment of the activities of specific known factors involved in blood coagulation. (c) 2019 by John Wiley & Sons, Inc.",Assessing Blood Clotting and Coagulation Factors in Mice.
"OBJECTIVE: In rheumatoid arthritis (RA), it is unclear if women are less likely to achieve low disease activity (LDA). We evaluated sex differences in remission and LDA, comparing different clinical and imaging measures. METHODS: We utilized data from the Veterans Affairs RA (VARA) registry and from two clinical trials. Remission and LDA were defined using composite scores, individual items (tender joints, swollen joints, ESR, CRP, evaluator/patient global assessment), and MRI. In VARA, we assessed 1) the likelihood of point remission at any time during follow-up using logistic regression, and 2) time to sustained remission (2 consecutive visits) using Cox proportional hazard models. In the clinical trials, logistic regression models evaluated the likelihood of low clinical and MRI activity at 52 weeks. RESULTS: Among 2463 patients in VARA women (10.2%) were less likely to be in DAS28-ESR remission in follow-up [OR: 0.71 (0.55, 0.91) p<0.01] and had a longer time to sustained DAS28-ESR remission. This difference was not observed for DAS28-CRP, CDAI, or RAPID3. Women were more likely to achieve favorable individual components except for an ESR <30 mm/hr [OR: 0.72 (0.57, 0.90) p<0.01]. Among 353 trial participants, (83.7% women), women had reduced rates of DAS28-ESR remission [OR: 0.39 (0.21, 0.72) p=0.003] but similar rates of low MRI synovitis and osteitis. CONCLUSION: The comparison of remission rates between men and women varies based on the disease activity measure, with sex-specific differences in ESR resulting in reliably lower rates of remission among women. There were no differences in MRI-measures. This article is protected by copyright. All rights reserved.",Sex Differences in the Achievement of Remission and Low Disease Activity in Rheumatoid Arthritis.
"OBJECTIVE: To evaluate the feasibility and acceptability of computerized working memory training in pediatric brain tumor survivors (PBTS) with cognitive deficits, as well as computerized working memory training that is enhanced with parental problem-solving skills training (PSST). METHODS: Twenty-seven PBTS (ages 7-16) recruited from a large, tertiary academic medical center were randomly assigned to computerized working memory training (Standard; n = 14) or computerized working memory training plus PSST (Combined; n = 13). PBTS completed a baseline assessment and parents completed acceptability surveys. Primary outcomes included number of intervention sessions completed and acceptability ratings. RESULTS: Fourteen of the 27 participants completed at least 20 sessions of the computerized training with average sessions lasting over an hour (M = 68.42 min, SD = 14.63). Completers had significantly better baseline auditory attention abilities than noncompleters. Parents reported both frustration and satisfaction related to the interventions and identified barriers to completing intervention sessions. CONCLUSIONS: This pilot randomized clinical trial raises significant questions related to the feasibility of computerized working memory training in PBTS with cognitive deficits. Findings also offer considerations for integrating family-based treatment approaches into cognitive remediation interventions for PBTS.",Acceptability and Feasibility in a Pilot Randomized Clinical Trial of Computerized Working Memory Training and Parental Problem-Solving Training With Pediatric Brain Tumor Survivors.
,Challenges in Research on Suicide Prevention-Reply.
"Cornelia de Lange Syndrome (CdLS), due to mutations in genes of the cohesin protein complex, is described as a disorder of transcriptional regulation. Phenotypes in this expanding field include short stature, microcephaly, intellectual disability, variable facial features and organ involvement, resulting in overlapping presentations, including established syndromes and newly described conditions. Individuals with all forms of CdLS have multifaceted complications, including neurodevelopmental, feeding, craniofacial, and communication. Coping mechanisms and management of challenging behaviors in CdLS, disruption of normal behaviors, and how behavior molds the life of the individual within the family is now better understood. Some psychotropic medications are known to be effective for behavior. Other medications, for example, Indomethacin, are being investigated for effects on gene expression, fetal brain tissue, brain morphology and function in Drosophila, mice, and human fibroblasts containing CdLS-related mutations. Developmental studies have clarified the origin of cardiac defects and role of placenta in CdLS. Chromosome architecture and cohesin complex structure are elucidated, leading to a better understanding of regulatory aspects and controls. As examples, when mutations are present, the formation of loop domains by cohesin, facilitating enhancer-promotor interactions, can be eliminated, and embryologically, the nuclear structure of zygotes is disrupted. Several important genes are now known to interact with cohesin, including Brca2. The following abstracts are from the 8th Cornelia de Lange Syndrome Scientific and Educational Symposium, held in June 2018, Minneapolis, MN, before the CdLS Foundation National Meeting, AMA CME credits provided by GBMC, Baltimore, MD. All studies have been approved by an ethics committee.","Cornelia de Lange syndrome, related disorders, and the Cohesin complex: Abstracts from the 8th biennial scientific and educational symposium 2018."
"The purpose of this article is to review the role of extrafollicular and T-cell independent antibody responses in humoral immunity. We consider two interrelated questions: (a) do T-cell independent antibody responses dominated by IgM and/or IgA play unique functions in immunity and homeostasis; and (b) is it typical for these responses to result in lifelong protection? In addressing these questions, we consider the established advantages of T-cell driven responses including the unique role played by germinal center reactions in these responses, and contrast the processes and outcomes of germinal center-centric responses with germinal center- and T-cell independent antibodies. We suggest that T-independent and other extrafollicular responses contribute substantially to highly stable antibody repertoires in both the serum and the intestine, providing relatively constitutive humoral barriers with the collective dual function of protecting against invading pathogens and regulating the composition of non-pathogenic microbial communities.",The continuing story of T-cell independent antibodies.
"BACKGROUND: Although musculoskeletal injuries have increased in sub-Saharan Africa, data on the economic burden of non-fatal musculoskeletal injuries in this region are scarce. OBJECTIVE: Socioeconomic costs of orthopedic injuries were estimated by examining both the direct hospital cost of orthopedic care as well as indirect costs of orthopedic trauma using disability days and loss of work as proxies. METHODS: This study surveyed 200 patients seen in the outpatient orthopedic ward of the Kilimanjaro Christian Medical Center, a tertiary hospital in Northeastern Tanzania, during the month of July 2016. FINDINGS: Of the patients surveyed, 88.8% earn a monthly income of less than $250 and the majority of patients (73.7%) reported that the healthcare costs of their musculoskeletal injuries were a catastrophic burden to them and their family with 75.0% of patients reporting their medical costs exceeded their monthly income. The majority (75.3%) of patients lost more than 30 days of activities of daily living due to their injury, with a median (IQR) functional day loss of 90 (30). Post-injury disability led to 40.6% of patients losing their job and 86.7% of disabled patients reported a wage decrease post-injury. There were significant associations between disability and post-injury unemployment (p &lt; .0001) as well as lower post-injury wages (p = .022). CONCLUSION: This exploratory study demonstrates that in this region of the world, access to definitive treatment post-musculoskeletal injury is limited and patients often suffer prolonged disabilities resulting in decreased employment and income.",The Economic Burden of Non-fatal Musculoskeletal Injuries in Northeastern Tanzania.
